0-2.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-0-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-30-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-0-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-30-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-08.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-31.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
031.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-33.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-34.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
034.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-5-7.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-360.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-36-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-36-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-70.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3-7-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-37.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03-7.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
