blogs.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blueberry.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
b.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.developers.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.r.e.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.thenews.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.yahoo.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
board.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bookmarks.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
book.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
br-fr.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
br.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
br.msn.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
broadcast-ip.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bs-ba.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
buddypoke.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bugs.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
builder.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
business.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
b-www.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cache.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ca-es.developers.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ca-es.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
