66-220-144-172.mail-appmail.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-173.mail-appmail.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-174.mail-appmail.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-175.mail-appmail.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-178.mail-mxout.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-184.mail-notif-priority.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-185.mail-notif-priority.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-186.mail-notif-priority.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-187.mail-notif-priority.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-188.mail-notif-priority.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-189.mail-notif-priority.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-190.mail-notif-priority.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-191.mail-notif-priority.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-192.mail-notif-events.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-193.mail-notif-events.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-194.mail-notif-events.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-195.mail-notif-events.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-196.mail-notif-events.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-197.mail-notif-events.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-198.mail-notif-events.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-199.mail-notif-events.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-200.mail-pages.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-201.mail-pages.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-202.mail-pages.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-203.mail-pages.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-204.mail-pages.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
66-220-144-205.mail-pages.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 66.220.144.0/21
