[dnp] ingest-test-api.eu.newrelic.com:20000
[dnsix] ingest-test-api.eu.newrelic.com:90
[dnx] ingest-test-api.eu.newrelic.com:3998
[doceri-ctl] ingest-test-api.eu.newrelic.com:7019
[documentum] ingest-test-api.eu.newrelic.com:10002
[documentum_s] ingest-test-api.eu.newrelic.com:10003
[domain] ingest-test-api.eu.newrelic.com:53
[doom] ingest-test-api.eu.newrelic.com:666
[dossier] ingest-test-api.eu.newrelic.com:1175
[down] ingest-test-api.eu.newrelic.com:2022
[dpm] ingest-test-api.eu.newrelic.com:5718
[dproxy] ingest-test-api.eu.newrelic.com:1296
[DragonIDSConsole] ingest-test-api.eu.newrelic.com:9111
[drp] ingest-test-api.eu.newrelic.com:1974
[dsc] ingest-test-api.eu.newrelic.com:3390
[dsf] ingest-test-api.eu.newrelic.com:555
[d-s-n] ingest-test-api.eu.newrelic.com:8086
[dsp] ingest-test-api.eu.newrelic.com:33
[d-star] ingest-test-api.eu.newrelic.com:9011
[dtspc] ingest-test-api.eu.newrelic.com:6112
[dvs] ingest-test-api.eu.newrelic.com:481
[dxmessagebase2] ingest-test-api.eu.newrelic.com:2875
[dxspider] ingest-test-api.eu.newrelic.com:8873
[dynamid] ingest-test-api.eu.newrelic.com:9002
[echo] ingest-test-api.eu.newrelic.com:7
[edonkey] ingest-test-api.eu.newrelic.com:4662
[eklogin] ingest-test-api.eu.newrelic.com:2105
[ekshell] ingest-test-api.eu.newrelic.com:2106
[ekshell] ingest-test-api.eu.newrelic.com:545
[elfiq-repl] ingest-test-api.eu.newrelic.com:1148
[eli] log-api.eu.newrelic.com:2087
[Elite] ingest-test-api.eu.newrelic.com:31337
[eli] tls10.eu.newrelic.com:2087
[eli] tls10.newrelic.com:2087
[eli] tls12.eu.newrelic.com:2087
[eli] tls12.newrelic.com:2087
[elm-momentum] ingest-test-api.eu.newrelic.com:1914
[emcads] ingest-test-api.eu.newrelic.com:3945
[emcrmirccd] ingest-test-api.eu.newrelic.com:10004
[encrypted_admin] ingest-test-api.eu.newrelic.com:1138
[enl-name] ingest-test-api.eu.newrelic.com:1805
[enpp] ingest-test-api.eu.newrelic.com:2968
[eppc] ingest-test-api.eu.newrelic.com:3031
[epp] ingest-test-api.eu.newrelic.com:700
[esl-lm] ingest-test-api.eu.newrelic.com:1455
[esp] ingest-test-api.eu.newrelic.com:6567
[esro-gen] ingest-test-api.eu.newrelic.com:259
[etebac5] ingest-test-api.eu.newrelic.com:1216
[EtherNetIP-1] blog.newrelic.com:2222
[EtherNetIP-1] ingest-test-api.eu.newrelic.com:2222
[event_listener] ingest-test-api.eu.newrelic.com:3017
[ewall] ingest-test-api.eu.newrelic.com:1328
[exasoftport1] ingest-test-api.eu.newrelic.com:3920
[excw] ingest-test-api.eu.newrelic.com:1271
[exec] ingest-test-api.eu.newrelic.com:512
[exp1] ingest-test-api.eu.newrelic.com:1021
[exp2] ingest-test-api.eu.newrelic.com:1022
[eyetv] ingest-test-api.eu.newrelic.com:2170
[ff-annunc] ingest-test-api.eu.newrelic.com:1089
[ff-fms] ingest-test-api.eu.newrelic.com:1090
[ff-sm] ingest-test-api.eu.newrelic.com:1091
[filemaker] ingest-test-api.eu.newrelic.com:5003
[filenet-rpc] ingest-test-api.eu.newrelic.com:32769
[filenet-tms] ingest-test-api.eu.newrelic.com:32768
[finger] ingest-test-api.eu.newrelic.com:2003
[finger] ingest-test-api.eu.newrelic.com:79
[fj-hdnet] ingest-test-api.eu.newrelic.com:1717
[flexlm0] ingest-test-api.eu.newrelic.com:27000
[fmpro-fdal] ingest-test-api.eu.newrelic.com:2399
[fmsascon] ingest-test-api.eu.newrelic.com:16001
[fmsas] ingest-test-api.eu.newrelic.com:16000
[fmtp] ingest-test-api.eu.newrelic.com:8500
[fnet-remote-ui] ingest-test-api.eu.newrelic.com:1174
[fodms] ingest-test-api.eu.newrelic.com:7200
[font-service] ingest-test-api.eu.newrelic.com:7100
[fotogcad] ingest-test-api.eu.newrelic.com:3878
[fpitp] ingest-test-api.eu.newrelic.com:1045
[fpo-fns] ingest-test-api.eu.newrelic.com:1066
[freeciv] ingest-test-api.eu.newrelic.com:5555
[fs-agent] ingest-test-api.eu.newrelic.com:8042
[ftp-data] ingest-test-api.eu.newrelic.com:20
[ftp] ingest-test-api.eu.newrelic.com:21
[ftp-proxy] ingest-test-api.eu.newrelic.com:8021
[ftps] ingest-test-api.eu.newrelic.com:990
[ftranhc] ingest-test-api.eu.newrelic.com:1105
[funk-dialout] ingest-test-api.eu.newrelic.com:2909
[fw1-secureremote] ingest-test-api.eu.newrelic.com:256
[garcon] ingest-test-api.eu.newrelic.com:999
[gds-adppiw-db] ingest-test-api.eu.newrelic.com:4550
[gilatskysurfer] ingest-test-api.eu.newrelic.com:3013
[git] ingest-test-api.eu.newrelic.com:9418
[globalcatLDAP] ingest-test-api.eu.newrelic.com:3268
[globalcatLDAPssl] ingest-test-api.eu.newrelic.com:3269
[globe] ingest-test-api.eu.newrelic.com:2002
[glogger] ingest-test-api.eu.newrelic.com:2033
[glrpc] ingest-test-api.eu.newrelic.com:9080
[gmrupdateserv] ingest-test-api.eu.newrelic.com:1070
[gnunet] log-api.eu.newrelic.com:2086
[gnunet] tls10.eu.newrelic.com:2086
[gnunet] tls10.newrelic.com:2086
[gnunet] tls12.eu.newrelic.com:2086
[gnunet] tls12.newrelic.com:2086
[gnutella] ingest-test-api.eu.newrelic.com:6346
[gopher] ingest-test-api.eu.newrelic.com:70
[gris] ingest-test-api.eu.newrelic.com:2135
[groove] ingest-test-api.eu.newrelic.com:2492
[gsiftp] ingest-test-api.eu.newrelic.com:2811
[gsigatekeeper] ingest-test-api.eu.newrelic.com:2119
[h2250-annex-g] ingest-test-api.eu.newrelic.com:2099
[h323gatedisc] ingest-test-api.eu.newrelic.com:1718
[h323gatestat] ingest-test-api.eu.newrelic.com:1719
[h323hostcallsc] ingest-test-api.eu.newrelic.com:1300
[h323q931] ingest-test-api.eu.newrelic.com:1720
[hermes] ingest-test-api.eu.newrelic.com:1248
[hfcs] ingest-test-api.eu.newrelic.com:4900
[hosts2-ns] ingest-test-api.eu.newrelic.com:81
[hotline] ingest-test-api.eu.newrelic.com:1234
[hotline] ingest-test-api.eu.newrelic.com:5500
[hp-hcip] ingest-test-api.eu.newrelic.com:1782
[hp-server] ingest-test-api.eu.newrelic.com:5225
[hpss-ndapi] ingest-test-api.eu.newrelic.com:1217
[hp-status] ingest-test-api.eu.newrelic.com:5226
[hpvmmcontrol] ingest-test-api.eu.newrelic.com:1124
[hpvmmdata] ingest-test-api.eu.newrelic.com:1126
[http] 8hp-anizyn.service.eu.newrelic.com:80
[http] account.eu.newrelic.com:80
[http] account.newrelic.com:80
[http] alerts.eu.newrelic.com:80
[http] alerts.newrelic.com:80
[http] also-two.newrelic.com:80
[http-alt] ingest-test-api.eu.newrelic.com:8000
[http] api.eu.newrelic.com:80
[http] api.newrelic.com:80
[http] apt.newrelic.com:80
[http] aws-api.newrelic.com:80
[http] babyparentingadmin.service.eu.newrelic.com:80
[http] be-images.newrelic.com:80
[http] be.newrelic.com:80
[http] beta.newrelic.com:80
[http] blog.newrelic.com:80
[http] business-intel.newrelic.com:80
[http] chi-collector-pool.newrelic.com:80
[http] chi-insights-collector.newrelic.com:80
[http] chi-staging-collector-pool.newrelic.com:80
[http] cloud-collector.newrelic.com:80
[http] cloudfront-dl.newrelic.com:80
[http] collector-001.newrelic.com:80
[http] collector-002.newrelic.com:80
[http] collector-003.newrelic.com:80
[http] collector-004.newrelic.com:80
[http] collector-005.newrelic.com:80
[http] collector-006.newrelic.com:80
[http] collector-007.newrelic.com:80
[http] collector-008.newrelic.com:80
[http] collector-009.newrelic.com:80
[http] collector-010.newrelic.com:80
[http] collector-0.newrelic.com:80
[http] collector-155.newrelic.com:80
[http] collector-156.newrelic.com:80
[http] collector-159.newrelic.com:80
[http] collector-160.newrelic.com:80
[http] collector-165.newrelic.com:80
[http] collector-166.newrelic.com:80
[http] collector-167.newrelic.com:80
[http] collector-168.newrelic.com:80
[http] collector-169.newrelic.com:80
[http] collector-170.newrelic.com:80
[http] collector-171.newrelic.com:80
[http] collector-172.newrelic.com:80
[http] collector-173.newrelic.com:80
[http] collector-174.newrelic.com:80
[http] collector-175.newrelic.com:80
[http] collector-176.newrelic.com:80
[http] collector-177.newrelic.com:80
[http] collector-178.newrelic.com:80
[http] collector-179.newrelic.com:80
[http] collector-180.newrelic.com:80
[http] collector-181.newrelic.com:80
[http] collector-182.newrelic.com:80
[http] collector-183.newrelic.com:80
[http] collector-184.newrelic.com:80
[http] collector-185.newrelic.com:80
[http] collector-186.newrelic.com:80
[http] collector-187.newrelic.com:80
[http] collector-188.newrelic.com:80
[http] collector-189.newrelic.com:80
[http] collector-190.newrelic.com:80
[http] collector-191.newrelic.com:80
[http] collector-192.newrelic.com:80
[http] collector-193.newrelic.com:80
[http] collector-194.newrelic.com:80
[http] collector-195.newrelic.com:80
[http] collector-196.newrelic.com:80
[http] collector-197.newrelic.com:80
[http] collector-198.newrelic.com:80
[http] collector-199.newrelic.com:80
[http] collector-1.newrelic.com:80
[http] collector-200.newrelic.com:80
[http] collector-201.newrelic.com:80
[http] collector-202.newrelic.com:80
[http] collector-203.newrelic.com:80
[http] collector-204.newrelic.com:80
[http] collector-205.newrelic.com:80
[http] collector-206.newrelic.com:80
[http] collector-207.newrelic.com:80
[http] collector-208.newrelic.com:80
[http] collector-209.newrelic.com:80
[http] collector-210.newrelic.com:80
[http] collector-211.newrelic.com:80
[http] collector-212.newrelic.com:80
[http] collector-213.newrelic.com:80
[http] collector-214.newrelic.com:80
[http] collector-215.newrelic.com:80
[http] collector-216.newrelic.com:80
[http] collector-217.newrelic.com:80
[http] collector-218.newrelic.com:80
[http] collector-219.newrelic.com:80
[http] collector-220.newrelic.com:80
[http] collector-221.newrelic.com:80
[http] collector-222.newrelic.com:80
[http] collector-224.newrelic.com:80
[http] collector-225.newrelic.com:80
[http] collector-226.newrelic.com:80
[http] collector-227.newrelic.com:80
[http] collector-228.newrelic.com:80
[http] collector-229.newrelic.com:80
[http] collector-230.newrelic.com:80
[http] collector-232.newrelic.com:80
[http] collector-233.newrelic.com:80
[http] collector-235.newrelic.com:80
[http] collector-236.newrelic.com:80
[http] collector-237.newrelic.com:80
[http] collector-238.newrelic.com:80
[http] collector-239.newrelic.com:80
[http] collector-240.newrelic.com:80
[http] collector-241.newrelic.com:80
[http] collector-242.newrelic.com:80
[http] collector-243.newrelic.com:80
[http] collector-245.newrelic.com:80
[http] collector-246.newrelic.com:80
[http] collector-247.newrelic.com:80
[http] collector-248.newrelic.com:80
[http] collector-249.newrelic.com:80
[http] collector-250.newrelic.com:80
[http] collector-251.newrelic.com:80
[http] collector-252.newrelic.com:80
[http] collector-253.newrelic.com:80
[http] collector-254.newrelic.com:80
[http] collector-255.newrelic.com:80
[http] collector-256.newrelic.com:80
[http] collector-257.newrelic.com:80
[http] collector-258.newrelic.com:80
[http] collector-259.newrelic.com:80
[http] collector-260.newrelic.com:80
[http] collector-262.newrelic.com:80
[http] collector-263.newrelic.com:80
[http] collector-268.newrelic.com:80
[http] collector-269.newrelic.com:80
[http] collector-270.newrelic.com:80
[http] collector-273.newrelic.com:80
[http] collector-274.newrelic.com:80
[http] collector-275.newrelic.com:80
[http] collector-277.newrelic.com:80
[http] collector-278.newrelic.com:80
[http] collector-279.newrelic.com:80
[http] collector-280.newrelic.com:80
[http] collector-281.newrelic.com:80
[http] collector-282.newrelic.com:80
[http] collector-283.newrelic.com:80
[http] collector-284.newrelic.com:80
[http] collector-285.newrelic.com:80
[http] collector-286.newrelic.com:80
[http] collector-287.newrelic.com:80
[http] collector-288.newrelic.com:80
[http] collector-289.newrelic.com:80
[http] collector-290.newrelic.com:80
[http] collector-291.newrelic.com:80
[http] collector-292.newrelic.com:80
[http] collector-293.newrelic.com:80
[http] collector-294.newrelic.com:80
[http] collector-295.newrelic.com:80
[http] collector-296.newrelic.com:80
[http] collector-297.newrelic.com:80
[http] collector-298.newrelic.com:80
[http] collector-299.newrelic.com:80
[http] collector-2.newrelic.com:80
[http] collector-2.staging-collectors.newrelic.com:80
[http] collector-300.newrelic.com:80
[http] collector-3.newrelic.com:80
[http] collector-4.newrelic.com:80
[http] collector-5.newrelic.com:80
[http] collector-6.newrelic.com:80
[http] collector-7.newrelic.com:80
